snapshot_date,action,reason,code,name,price,rank,shares,market_value,pnl_pct,filter_reason
2026-08-27,BUY,ranked_entry,127061,美锦转债,114.98,1.0,34.789,4000.0,,
2026-08-27,BUY,ranked_entry,113052,兴业转债,115.377,2.0,34.669,4000.0,,
2026-08-27,BUY,ranked_entry,113056,重银转债,128.016,3.0,31.246,4000.0,,
2026-08-27,BUY,ranked_entry,113062,常银转债,129.078,4.0,30.989,4000.0,,
2026-08-27,BUY,ranked_entry,123107,温氏转债,114.025,5.0,35.08,4000.0,,
2026-08-27,BUY,ranked_entry,127030,盛虹转债,119.895,6.0,33.363,4000.0,,
2026-08-27,BUY,ranked_entry,127045,牧原转债,120.201,7.0,33.278,4000.0,,
2026-08-27,BUY,ranked_entry,127040,国泰转债,123.038,8.0,32.51,4000.0,,
2026-08-27,BUY,ranked_entry,113051,节能转债,124.39,9.0,32.157,4000.0,,
2026-08-27,BUY,ranked_entry,123104,卫宁转债,127.372,10.0,31.404,4000.0,,
2026-08-27,WATCH,buy_zone_but_no_slot,127056,中特转债,129.646,11.0,,,,
