snapshot_date,rank,code,name,price,premium_rate,double_low,ytm,remaining_years,remaining_size,amount,turnover_rate,rating,stock_code,stock_name,stock_price,stock_change_pct,stock_pb,redeem_status,score,filter_reason,price_rank,premium_rank,ytm_rank,amount_rank,size_rank,rating_rank
2026-09-22,1.0,127061,美锦转债,110.079,4.08,114.16,5.99,1.578,27.742,7722.82,2.54,A,000723,美锦能源,3.67,1.38,1.3,,0.4333333333333333,,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,1.0
2026-09-22,2.0,113056,重银转债,125.375,5.76,131.14,-7.07,1.501,115.622,16520.12,1.14,AAA,601963,重庆银行,10.93,0.28,0.59,,0.6483333333333333,,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.0,0.5
2026-09-22,3.0,113062,常银转债,128.037,7.55,135.59,-8.15,1.984,59.994,9655.66,1.26,AAA,601128,常熟银行,6.25,0.0,0.68,,0.9183333333333333,,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.5
2026-09-22,,123285,润禾转02,100.0,-10.63,89.37,2.84,5.97,3.7,0.0,0.0,A+,300727,润禾材料,34.8,-2.16,4.63,,,liquidity_too_low,,,,,,
2026-09-22,,127117,奥士转债,100.0,-4.72,95.28,2.15,6.003,10.0,0.0,0.0,AA,002913,奥士康,88.12,4.28,6.36,,,liquidity_too_low,,,,,,
2026-09-22,,123286,国科转债,100.0,-0.67,99.33,2.19,6.003,8.49,0.0,0.0,AA-,301571,国科天成,75.0,-2.52,6.35,,,liquidity_too_low,,,,,,
2026-09-22,,127116,瑞鹄转02,100.0,9.21,109.21,1.85,5.989,6.86,0.0,0.0,AA,002997,瑞鹄模具,26.72,-0.45,2.11,,,liquidity_too_low,,,,,,
2026-09-22,,113043,财通转债,113.204,5.04,118.24,-29.78,0.216,37.992,18926.98,4.4,AAA,601108,财通证券,8.6,0.0,1.01,,,maturity_too_close,,,,,,
2026-09-22,,113042,上银转债,116.439,2.02,118.46,-11.13,0.343,192.16,24825.98,1.11,AAA,601229,上海银行,9.53,-0.1,0.51,,,maturity_too_close,,,,,,
2026-09-22,,113605,大参转债,110.928,5.37,116.3,-10.52,0.082,14.043,4171.93,2.67,AA,603233,大参林,17.75,-1.11,2.61,已公告强赎,,maturity_too_close|redeem_risk,,,,,,
2026-09-22,,128134,鸿路转债,110.339,7.81,118.15,-7.01,0.047,10.036,27245.35,24.58,AA,002541,鸿路钢构,17.9,-4.07,1.23,已公告强赎,,maturity_too_close|redeem_risk,,,,,,
2026-09-22,,110076,华海转债,111.501,11.03,122.53,-11.99,0.112,18.424,4642.85,2.26,AA,600521,华海药业,16.57,-0.54,2.54,已公告强赎,,maturity_too_close|redeem_risk,,,,,,
2026-09-22,,113046,金田转债,129.074,-0.83,128.24,-29.8,0.496,14.74,33337.59,17.39,AA+,601609,金田股份,13.25,-0.08,2.21,公告要强赎,,maturity_too_close|redeem_risk,,,,,,
2026-09-22,,127047,帝欧转债,133.28,1.6,134.88,-11.42,1.09,4.654,5026.89,8.08,BBB+,002798,帝欧水华,6.69,1.06,1.92,,,price_too_high,,,,,,
2026-09-22,,111015,东亚转债,134.101,10.1,144.2,-4.41,2.789,6.662,6782.42,7.6,A+,605177,东亚药业,24.7,-0.12,1.66,,,price_too_high,,,,,,
2026-09-22,,113681,镇洋转债,136.679,9.16,145.84,-4.15,3.271,5.476,2457.97,3.29,AA-,603213,镇洋发展,13.71,1.18,3.28,,,price_too_high,,,,,,
2026-09-22,,123160,泰福转债,156.501,7.88,164.38,-12.87,2.019,2.314,12743.24,34.92,A,300992,泰福泵业,28.58,-2.26,2.97,,,price_too_high,,,,,,
2026-09-22,,123207,冠中转债,199.701,4.77,204.47,-16.95,2.83,1.455,19324.37,65.79,A-,300948,冠中生态,19.9,2.9,3.26,,,price_too_high,,,,,,
2026-09-22,,118058,微导转债,377.649,8.85,386.5,-22.02,4.874,11.698,102386.15,22.77,AA,688147,微导纳米,115.5,-0.42,17.34,,,price_too_high,,,,,,
2026-09-22,,128138,侨银转债,131.18,10.36,141.54,-5.97,0.153,4.199,6026.65,10.92,A+,002973,侨银股份,12.6,-2.85,2.0,,,price_too_high|maturity_too_close,,,,,,
2026-09-22,,123091,长海转债,138.402,4.22,142.62,-79.42,0.252,5.459,45582.66,58.88,AA,300196,长海股份,19.64,-0.61,1.66,,,price_too_high|maturity_too_close,,,,,,
2026-09-22,,110077,洪城转债,200.352,0.06,200.41,-283.81,0.162,5.139,4524.94,4.39,AA+,600461,洪城环境,8.83,-0.56,1.16,公告不强赎,,price_too_high|maturity_too_close|redeem_risk,,,,,,
2026-09-22,,113615,金诚转债,726.724,7.92,734.64,-339.3,0.252,4.958,41199.31,11.36,AA,603979,金诚信,74.88,1.82,3.77,公告不强赎,,price_too_high|maturity_too_close|redeem_risk,,,,,,
2026-09-22,,132026,G三峡EB2,135.099,2.24,137.34,-29.08,0.69,94.986,6225.94,0.48,AAA,600900,长江电力,28.02,-0.28,3.17,公告不强赎,,price_too_high|redeem_risk,,,,,,
2026-09-22,,111000,起帆转债,134.787,2.75,137.54,-21.96,0.669,9.991,13690.19,10.06,AA-,605222,起帆电缆,22.68,-0.13,1.9,公告不强赎,,price_too_high|redeem_risk,,,,,,
2026-09-22,,123243,严牌转债,242.7,3.26,245.96,-17.46,3.8,2.558,53081.11,83.58,A+,301081,严牌股份,16.97,-4.29,3.47,公告不强赎,,price_too_high|redeem_risk,,,,,,
2026-09-22,,123258,胜蓝转02,250.7,-0.16,250.54,,,3.499,88889.16,99.16,AA-,300843,胜蓝股份,136.5,-4.66,12.95,已公告强赎,,price_too_high|redeem_risk,,,,,,
2026-09-22,,123245,集智转债,392.0,6.78,398.78,-26.52,3.896,1.537,59598.24,96.43,A,300553,集智股份,66.3,-1.85,8.7,公告不强赎,,price_too_high|redeem_risk,,,,,,
2026-09-22,,118027,宏图转债,93.776,-4.24,89.54,11.81,2.186,7.125,29949.59,45.08,CC,688066,*ST航图,8.5,-3.63,-1.64,,,price_too_low|st_stock,,,,,,
2026-09-22,,110081,闻泰转债,101.841,6.3,108.14,7.17,0.847,71.5,23038.02,3.17,BBB-,600745,*ST闻泰,17.59,4.33,0.92,,,st_stock,,,,,,
