代码,转债名称,现价,涨跌幅,正股代码,正股名称,正股价,正股涨跌,正股PB,转股价,转股价值,转股溢价率,债券评级,回售触发价,强赎触发价,转债占比,到期时间,剩余年限,剩余规模,成交额,换手率,到期税前收益,双低
110077,洪城转债,202.984,0.07,600461,洪城环境,8.96,0.0,1.15,4.41,203.18,-0.09,AA+,3.087,5.733,4.7,2026-11-20,0.195,5.506,6776.92,6.07,-238.84,202.89
113046,金田转债,130.514,-1.32,601609,金田股份,13.25,-0.15,2.21,10.18,130.16,0.27,AA+,7.126,13.234,6.5,2027-03-22,0.529,14.991,34662.92,17.72,-29.72,130.78
123258,胜蓝转02,234.942,-0.84,300843,胜蓝股份,126.71,1.69,12.02,54.36,233.09,0.79,AA-,38.052,70.668,2.2,2031-08-28,,4.496,109884.55,103.89,,235.73
113042,上银转债,118.326,0.38,601229,上海银行,9.79,2.09,0.52,8.35,117.25,0.92,AAA,,10.855,14.4,2027-01-25,0.375,199.774,40402.0,1.71,-14.25,119.25
123243,严牌转债,224.2,-1.8,301081,严牌股份,16.03,-2.73,3.27,7.22,222.02,0.98,A+,5.054,9.386,7.1,2030-07-10,3.833,2.559,61229.1,107.67,-15.57,225.18
127061,美锦转债,114.049,0.04,000723,美锦能源,3.91,0.51,1.38,3.47,112.68,1.21,A,2.429,4.511,16.1,2028-04-20,1.611,27.742,14320.63,4.54,3.53,115.26
123112,万讯转债,146.888,5.67,300112,万讯自控,9.3,3.91,2.81,6.43,144.64,1.56,AA-,4.501,8.359,4.5,2027-04-08,,1.062,300461.39,1894.27,,148.45
127047,帝欧转债,136.58,-0.85,002798,帝欧水华,6.84,-0.15,1.97,5.1,134.12,1.84,BBB+,3.57,6.63,13.2,2027-10-25,1.123,4.654,3071.18,4.85,-13.04,138.42
132026,G三峡EB2,136.001,0.57,600900,长江电力,28.09,0.14,3.18,21.2,132.5,2.66,AAA,14.84,27.56,1.4,2027-06-01,0.723,94.986,8075.83,0.63,-28.49,138.66
123285,润禾转02,100.0,0.0,300727,润禾材料,30.19,-4.46,4.02,31.1,97.07,3.01,A+,21.77,40.43,7.6,2032-09-09,6.003,3.7,0.0,0.0,2.82,103.01
113056,重银转债,127.266,0.33,601963,重庆银行,11.38,1.7,0.61,9.22,123.43,3.11,AAA,,11.986,49.9,2028-03-23,1.534,115.622,16190.33,1.1,-7.84,130.38
128134,鸿路转债,115.379,-1.89,002541,鸿路钢构,19.32,-1.83,1.33,17.49,110.46,4.45,AA,12.243,22.737,13.0,2026-10-09,0.08,12.913,5536.5,3.71,-60.78,119.83
113062,常银转债,128.718,0.21,601128,常熟银行,6.46,0.78,0.7,5.25,123.05,4.61,AAA,,6.825,25.5,2028-09-15,2.016,59.994,12664.24,1.64,-7.91,133.33
113605,大参转债,112.216,-0.76,603233,大参林,17.95,-1.81,2.64,16.86,106.47,5.4,AA,11.802,21.918,6.9,2026-10-22,0.115,14.044,4873.66,3.1,-17.59,117.62
111000,起帆转债,141.472,-1.31,605222,起帆电缆,23.04,-1.66,1.93,17.29,133.26,6.17,AA-,12.103,22.477,10.5,2027-05-24,0.701,9.991,22720.25,16.07,-26.68,147.64
127080,声迅转债,265.064,0.52,003004,声迅股份,71.22,-0.03,8.45,28.94,246.1,7.71,A,20.258,37.622,5.7,2028-12-30,2.307,2.793,42932.28,59.58,-29.77,272.77
113066,平煤转债,138.106,-0.53,601666,平煤股份,9.53,-1.24,0.93,7.46,127.75,8.11,AAA,5.222,9.698,6.1,2029-03-16,2.515,14.274,9170.53,4.67,-8.84,146.22
123091,长海转债,126.758,0.99,300196,长海股份,17.34,2.48,1.47,14.79,117.24,8.12,AA,10.353,19.227,12.7,2026-12-23,0.285,5.461,44854.8,64.24,-44.05,134.88
113043,财通转债,116.52,1.03,601108,财通证券,8.57,1.18,1.01,7.98,107.39,8.5,AAA,,10.374,9.5,2026-12-10,0.249,37.992,11759.13,2.68,-36.61,125.02
123207,冠中转债,205.201,-1.06,300948,冠中生态,19.7,-2.62,3.22,10.44,188.7,8.75,A-,7.308,13.572,4.8,2029-07-21,2.863,1.455,11395.75,38.1,-17.57,213.95
113615,金诚转债,788.525,-1.95,603979,金诚信,80.14,-2.92,4.03,11.12,720.68,9.41,AA,7.784,14.456,1.0,2026-12-23,0.285,4.958,44011.61,11.32,-304.03,797.94
111015,东亚转债,133.411,1.56,605177,东亚药业,24.71,8.47,1.66,20.28,121.84,9.49,A+,14.196,26.364,23.7,2029-07-06,2.822,6.662,22153.67,25.21,-4.18,142.9
113681,镇洋转债,137.227,-0.45,603213,镇洋发展,13.69,-0.58,3.27,10.95,125.02,9.76,AA-,7.665,14.235,9.0,2029-12-29,3.304,5.476,2997.85,4.0,-4.23,146.99
123245,集智转债,333.298,-3.39,300553,集智股份,54.45,-4.15,7.15,18.06,301.5,10.55,A,12.642,23.478,3.3,2030-08-14,3.929,1.537,31624.51,61.78,-23.19,343.85
113058,友发转债,130.86,-0.7,601686,友发集团,5.28,0.19,1.1,4.48,117.86,11.03,AA,3.136,5.824,23.8,2028-03-30,1.553,18.638,4749.39,1.95,-8.7,141.89
118058,微导转债,342.497,0.19,688147,微导纳米,102.64,-0.56,15.41,33.29,308.32,11.08,AA,23.303,43.277,2.5,2031-08-06,4.907,11.698,86691.67,21.75,-20.31,353.58
113631,皖天转债,134.472,-0.46,603689,皖天然气,7.87,-0.63,1.1,6.51,120.89,11.23,AA+,4.557,8.463,14.5,2027-11-08,1.162,5.958,6017.77,7.53,-14.87,145.7
110081,闻泰转债,103.813,-1.13,600745,*ST闻泰,17.03,-0.82,0.89,18.36,92.76,11.92,BBB+,12.852,23.868,31.8,2027-07-28,0.88,71.5,9001.01,1.21,4.6,115.73
123213,天源转债,276.766,0.2,301127,武汉天源,17.51,-0.34,3.37,7.1,246.62,12.22,AA-,4.97,9.23,2.8,2029-07-28,2.882,3.26,30694.31,34.43,-26.45,288.99
123092,天壕转债,117.85,0.03,300332,天壕能源,5.21,1.36,1.13,4.97,104.83,12.42,A+,3.479,6.461,8.1,2026-12-24,0.288,3.416,10163.62,25.11,-8.49,130.27
