代码,名称,现价,正股代码,正股名称,规模,剩余规模,转股起始日,最后交易日,到期日,转股价,强赎触发比,强赎触发价,正股价,强赎价,强赎天计数,强赎条款,强赎状态
127067,恒逸转2,179.39,000703,恒逸石化,30.0,2.589,2023-01-30,2026-09-03,2028-07-21,10.32,130,13.416,18.52,100.25,27/15 | 30,如果公司股票连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的 130%（含 130%）,已公告强赎
123112,万讯转债,138.95,300112,万讯自控,2.457,1.863,2021-10-14,2026-09-11,2027-04-08,6.43,130,8.359,9.0,101.332,20/15 | 30,如果公司股票连续三十个交易日中至少有十 五个交易日的收盘价不低于当期转股价格的 130%(含 130%),已公告强赎
128134,鸿路转债,121.55,002541,鸿路钢构,18.8,13.197,2021-04-15,2026-09-28,2026-10-09,17.49,130,22.737,20.83,,"临近到期 <span style=""color:red;font-weight:bold;"">!</span><br>2026-09-28 最后交易",如果公司股票连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的130%(含 130%),已公告强赎
127078,优彩转债,162.879,002998,优彩资源,6.0,4.158,2023-06-20,,2028-12-14,6.11,130,7.943,8.58,,14/15 | 30,如果公司股票在连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的 130%（含 130%）；,
123261,普联转债,159.9,300996,普联软件,2.43,2.428,2026-06-11,,2031-12-05,12.97,130,16.861,13.82,,12/15 | 30,如果公司 A 股股票连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的 130%（含130%）,
123258,胜蓝转02,262.4,300843,胜蓝股份,4.5,4.498,2026-03-03,,2031-08-28,54.36,130,70.668,126.4,,10/15 | 30,如果公司股票连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的 130%（含 130%）,
113046,金田转债,136.108,601609,金田股份,15.0,14.992,2021-09-27,,2027-03-22,10.18,130,13.234,13.46,,6/15 | 30,如果本公司股票任意连续30个交易日中至少有15个交易日的收盘价不低于当期转股价格的130%(含 130%),
127109,电化转债,148.997,002125,湘潭电化,4.87,4.866,2025-12-22,,2031-06-16,9.99,130,12.987,12.38,,5/15 | 30,当公司股票在任何连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的 130%（含 130%）,
123118,惠城转债,729.574,300779,惠城环保,3.2,0.654,2022-01-13,,2027-07-07,10.33,130,13.429,58.41,,5/15 | 30,如果公司股票在任何连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的 130%(含 130%),
123243,严牌转债,223.5,301081,严牌股份,4.679,2.607,2025-01-16,,2030-07-10,7.22,130,9.386,15.89,,5/15 | 30,如果公司股票在连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的 130%（含 130%）,
113066,平煤转债,138.564,601666,平煤股份,29.0,14.274,2023-09-22,,2029-03-16,7.46,130,9.698,9.39,,5/15 | 30,如果公司股票在任何连续30个交易日中至少15个交易日的收盘价格不低于当期转股价格的130%（含）,
113673,岱美转债,191.954,603730,岱美股份,9.079,9.078,2024-01-24,,2029-07-18,7.12,130,9.256,10.57,,4/15 | 30,如果公司股票连续三十个交易日中至少有十五个交易日的收盘价不低于当期转股价格的 130%（含 130%）,
113699,金25转债,195.318,603979,金诚信,20.0,19.998,2026-04-10,,2031-09-26,62.8,130,81.64,78.84,,3/15 | 30,如果公司A 股股票连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的130%（含130%）。,
127080,声迅转债,275.001,003004,声迅股份,2.8,2.793,2023-07-07,,2028-12-30,28.94,130,37.622,72.73,,3/15 | 30,如果公司股票在任何连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的 130%（含 130%）,
123160,泰福转债,156.999,300992,泰福泵业,3.349,2.315,2023-04-11,,2028-09-28,19.7,130,25.61,26.74,,2/15 | 30,如果公司股票在连续 30 个交易日中至少 15 个交易日的收盘价格不低于当期转股价格的 130%（含 130%）,
123235,亿田转债,168.317,300911,亿田智能,5.202,4.352,2024-06-27,,2029-12-21,21.31,130,27.703,30.24,,2/15 | 30,如果公司股票在任何连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的 130%（含 130%）；,
118016,京源转债,154.316,688096,京源环保,3.325,1.675,2023-02-13,,2028-08-05,6.91,130,8.983,8.69,,1/15 | 30,如果公司 A 股股票连续三十个交易日中至少有十五个交易日的收盘价不低于当期转股价格的130%（含130%），,
118013,道通转债,173.472,688208,道通科技,12.8,12.796,2023-01-16,,2028-07-08,21.48,130,27.924,25.8,,7/15 | 30,如果公司股票在连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的 130%（含 130%）,
123114,三角转债,128.094,300775,三角防务,9.044,8.999,2021-11-30,,2027-05-25,22.69,130,29.497,21.76,,0/20 | 30,如果公司股票连续三十个交易日中至少有二十个交易日的收盘价格不低于当期转股价格的130%(含130%),
123113,仙乐转债,115.006,300791,仙乐健康,10.249,10.248,2021-10-25,,2027-04-19,31.69,130,41.197,18.01,,0/20 | 30,如果公司股票连续三十个交易日中至少有二十个交易日的收盘价不低于当期转股价格的130%(含130%),
123173,恒锋转债,139.0,300605,恒锋信息,2.424,2.33,2023-07-06,,2028-12-30,10.0,130,13.0,10.72,,0/15 | 30,如果公司股票连续三十个交易日中至少有十五个交易日的收盘价不低于当期转股价格的 130%（含 130%）,
123175,百畅转债,119.778,300614,百川畅银,4.2,4.199,2023-08-28,,2029-02-22,20.4,130,26.52,10.96,,0/15 | 30,如果公司股票在任意连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的 130%（含 130%）,
123211,阳谷转债,154.06,300121,阳谷华泰,6.5,3.07,2024-02-02,,2029-07-27,9.2,130,11.96,9.65,,0/15 | 30,如果公司股票连续三十个交易日中至少有十五个交易日的收盘价不低于当期转股价格的 130%（含 130%）；,
123172,漱玉转债,129.804,301017,漱玉平民,8.0,7.96,2023-06-21,,2028-12-15,14.91,130,19.383,13.29,,0/15 | 30,如果公司股票在任何连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的 130%（含 130%）,
123178,花园转债,140.116,300401,花园生物,12.0,11.58,2023-09-11,,2029-03-06,13.34,130,17.342,14.28,,0/15 | 30,公司股票任何连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的130%（含）,
123214,东宝转债,130.5,300239,东宝生物,4.55,4.549,2024-02-05,,2029-07-31,6.62,130,8.606,5.13,,0/15 | 30,如果公司 A 股股票在连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的 130%（含 130%）,
123216,科顺转债,123.0,300737,科顺股份,21.98,21.959,2024-02-19,,2029-08-04,6.61,130,8.593,4.77,,0/15 | 30,如果公司股票在任意连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的 130%（含 130%）,
123215,铭利转债,123.18,301268,铭利达,10.0,8.555,2024-02-19,,2029-08-03,19.19,130,24.947,13.01,,0/15 | 30,如果公司股票在任意连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的 130%（含 130%）；,
123168,惠云转债,128.249,300891,惠云钛业,4.9,4.899,2023-05-29,,2028-11-23,10.74,130,13.962,7.56,,0/15 | 30,如果公司股票连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的 130%（含 130%）,
123171,共同转债,129.67,300966,共同药业,3.8,3.799,2023-06-02,,2028-11-28,27.08,130,35.204,23.87,,0/15 | 30,如果公司股票在任意连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的 130%（含 130%）,
