date,code,pe_ttm,pb,dividend_yield
2018-01-02,000333,21.921321,5.01661301,
2018-01-03,000333,21.69690703,4.96525671,
2018-01-04,000333,22.27977584,5.09864408,
2018-01-05,000333,22.54141681,5.15851964,
2018-01-08,000333,22.4266517,5.13225607,
2018-01-09,000333,23.1356731,5.29451299,
2018-01-10,000333,23.55809705,5.39118314,
2018-01-11,000333,23.19445018,5.30796391,
2018-01-12,000333,23.65553171,5.4134807,
2018-01-15,000333,23.79794488,5.44607143,
2018-01-16,000333,23.77230523,5.44020389,
2018-01-17,000333,22.86382897,5.23230247,
2018-01-18,000333,22.94357209,5.25055139,
2018-01-19,000333,22.64309171,5.18178756,
2018-01-22,000333,23.91345083,5.47250454,
2018-01-23,000333,24.18412637,5.53444763,
2018-01-24,000333,23.52049186,5.38257734,
2018-01-25,000333,23.86701128,5.46187702,
2018-01-26,000333,24.14084883,5.52454373,
2018-01-29,000333,23.31204735,5.33487558,
2018-01-30,000333,22.88039238,5.23609294,
2018-01-31,000333,23.29523422,5.33102796,
2018-02-01,000333,23.11025727,5.28869667,
2018-02-02,000333,23.32927319,5.33881765,
2018-02-05,000333,22.32574207,5.10916328,
2018-02-06,000333,21.61733569,4.9470471,
2018-02-07,000333,20.58095306,4.70987478,
2018-02-08,000333,20.96519365,4.79780682,
2018-02-09,000333,20.26906859,4.63850118,
2018-02-12,000333,21.2222598,4.85663545,
2018-02-13,000333,21.57143872,4.93654375,
2018-02-14,000333,22.20017754,5.0804283,
2018-02-22,000333,22.67654662,5.1894436,
2018-02-23,000333,22.44672051,5.13684874,
2018-02-26,000333,22.50595752,5.15040492,
2018-02-27,000333,21.29732795,4.87381452,
2018-02-28,000333,21.43555204,4.90544659,
2018-03-01,000333,21.69109434,4.9639265,
2018-03-02,000333,21.93563623,5.019889,
2018-03-05,000333,21.85760124,5.00203098,
2018-03-06,000333,21.92783273,5.0181032,
2018-03-07,000333,21.95124323,5.02346061,
2018-03-08,000333,23.08665236,5.28329478,
2018-03-09,000333,23.37538183,5.34936944,
2018-03-12,000333,23.6953253,5.42258732,
2018-03-13,000333,23.82408304,5.45205305,
2018-03-14,000333,23.56656756,5.39312159,
2018-03-15,000333,23.96064427,5.48330458,
2018-03-16,000333,23.28954334,5.32972562,
2018-03-19,000333,23.24272235,5.31901081,
2018-03-20,000333,23.15298211,5.29847409,
2018-03-21,000333,22.73939665,5.20382659,
2018-03-22,000333,22.20095521,5.08060627,
2018-03-23,000333,21.94343973,5.0216748,
2018-03-26,000333,21.56497002,4.93506342,
2018-03-27,000333,21.30745455,4.87613195,
2018-03-28,000333,20.72609386,4.74308972,
2018-03-29,000333,21.57667527,4.93774212,
2018-03-30,000333,21.27624055,4.86898875,
2018-04-02,000333,20.12879038,4.39123308,
2018-04-03,000333,20.00689006,4.36463969,
2018-04-04,000333,20.19354992,4.40536082,
2018-04-09,000333,19.54214509,4.2632524,
2018-04-10,000333,20.10212468,4.38541577,
2018-04-11,000333,20.18212177,4.40286769,
2018-04-12,000333,19.75928003,4.31062187,
2018-04-13,000333,19.54976386,4.26491449,
2018-04-16,000333,18.96692795,4.13776486,
2018-04-17,000333,19.0050218,4.14607529,
2018-04-18,000333,18.56313314,4.04967426,
2018-04-19,000333,19.64499848,4.28569057,
2018-04-20,000333,19.58023894,4.27156284,
2018-04-23,000333,19.82784896,4.32558065,
2018-04-24,000333,20.39925671,4.45023716,
2018-04-25,000333,20.04498391,4.37295012,
2018-04-26,000333,19.58023894,4.27156284,
2018-04-27,000333,19.68690172,4.29483205,
2018-05-02,000333,18.58928734,4.26740762,
2018-05-03,000333,19.25900851,4.42115064,
2018-05-04,000333,18.49878449,4.24663153,
2018-05-07,000333,18.96939935,4.35466717,
2018-05-08,000333,19.51241651,4.47932367,
2018-05-09,000333,19.53051708,4.48347889,
2018-05-10,000333,19.686182,4.51921375,
